LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.06.02, descConta=Despesas Financeiras, vlConta=-2703572.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.07, descConta=Resultado Antes dos Tributos sobre o Lucro, vlConta=2116656.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.08, descConta=Imposto de Renda e Contribuição Social sobre o Lucro, vlConta=-480723.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.08.01, descConta=Corrente, vlConta=-480723.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.08.02, descConta=Diferido, vlConta=0.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.09, descConta=Resultado Líquido das Operações Continuadas, vlConta=1635933.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.10, descConta=Resultado Líquido de Operações Descontinuadas, vlConta=0.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.10.01, descConta=Lucro/Prejuízo Líquido das Operações Descontinuadas, vlConta=0.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.10.02, descConta=Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas, vlConta=0.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.11, descConta=Lucro/Prejuízo Consolidado do Período, vlConta=1635933.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.11.01, descConta=Atribuído a Sócios da Empresa Controladora, vlConta=1611193.0000000000]
LancamentoDRE [cnpj=00.001.180/0001-26, dtReferencia=2011-06-30, versao=3, nomeEmpresa=CENTRAIS ELET BRAS S.A. - ELETROBRAS, codigoCvm=002437, grupoDfp=DF Consolidado - Demonstração do Resultado, moeda=REAL, escalaMoeda=MIL, ordemExercicio=ÚLTIMO, dtInicioExercicio=2011-01-01, dtFimExercicio=2011-06-30, codigoConta=3.11.02, descConta=Atribuído a Sócios Não Controladores, vlConta=24740.0000000000]
